source_id,ra,dec,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,parallax,pmra,pmdec
1576683529448755328,193.50817846782095,55.959784778923755,1.7316069602966309,2.4691197872161865,2.1307525634765625,,,
6560604777055249536,332.05907779469464,-46.96161734131188,1.7732802629470825,2.398001194000244,2.1459453105926514,,,
1510374147844219904,206.8843267438112,49.313201807217496,1.8810189962387085,2.471938371658325,2.3064141273498535,,,
3377166289889430656,95.74037353106223,22.51309871600816,1.8813682794570923,3.6220173835754395,1.7436332702636719,,,
418551920284673408,10.12724197930297,56.53718879378639,1.9425238370895386,2.9869861602783203,1.8435026407241821,14.090976249252234,49.12564571845064,-31.595374311196693
4677205714465503104,69.1893185844083,-62.07749050901024,1.9587749242782593,5.53833532333374,1.7679413557052612,,,
6026152137856166912,252.53759018899078,-34.294371751412214,1.9910355806350708,3.088451862335205,1.9007558822631836,,,
4357027756659697664,243.58621066034064,-3.694967708333353,2.016425132751465,3.482232093811035,1.918921709060669,20.411292350652413,-45.34001940987892,-144.43272215287442
426558460884582016,14.177450998208093,60.71672280471204,2.0645833015441895,2.7258431911468506,2.31510853767395,,,
3011968416163350272,86.93912852502406,-9.669607137549677,2.0778262615203857,2.5271732807159424,2.32767391204834,,,
5589311357728452608,109.28559423278779,-37.097444485279574,2.083237409591675,3.450613498687744,1.9080331325531006,5.762063161817684,-11.561999924300897,6.520111466968526
4993479684438433792,6.57215550145885,-42.30782032569077,2.089977502822876,3.301706075668335,2.03222393989563,39.91825815729799,176.2682926212513,-398.87213472266046
4493746564376875520,263.7341968642716,12.559009843277153,2.108285665512085,2.930506467819214,2.3119208812713623,,,
142853330981747328,46.29487462677558,38.83980896875264,2.111629009246826,3.9260542392730713,1.759588360786438,,,
2067518817314952576,305.55710787667306,40.2566736114266,2.113725185394287,3.1674535274505615,2.173905849456787,,,
4038055447778237312,274.4060904518451,-36.76242931758906,2.116495132446289,3.7426791191101074,1.9154117107391357,23.885852068095137,-131.80407046542277,-166.30893037257962
1279798794197267072,221.24648617076684,27.074315757773466,2.183352470397949,3.2867486476898193,2.1027421951293945,13.82667260913517,-50.81825554241812,21.02352084436887
160886283751041408,74.24843702624405,33.16601472318802,2.197542190551758,3.4961585998535156,2.050973415374756,7.249065034494049,3.8169754472223425,-17.786274545345467
1869302503206674304,311.5547590119282,33.9717003123585,2.210965156555176,3.2154650688171387,2.0875072479248047,,,
5300300156538723328,139.2723686431627,-59.27517582046192,2.2137858867645264,2.8266043663024902,2.2736454010009766,,,
4302054339959905920,296.56498571046956,10.613252703828636,2.223691940307617,3.3967323303222656,1.9184874296188354,5.589928355256642,16.232737511703284,-1.354232773419788
6127791439360208640,190.3779930225551,-48.95978360109781,2.227055788040161,2.8990352153778076,2.3849456310272217,,,
423018377034969216,2.2990654282325518,59.14897576410493,2.2326910495758057,2.976076126098633,2.263988733291626,,,
3220756843825383936,83.00165624929525,-0.2990788925812489,2.248772621154785,2.6663711071014404,2.4963126182556152,,,
5534788672055388032,120.89585713760054,-40.00307350941095,2.2542943954467773,2.7991418838500977,2.570660352706909,,,
3377072212924335488,93.71906923878569,22.50675368193066,2.262037754058838,3.8225815296173096,1.9687436819076538,,,
1222646935698492160,233.67254376294218,26.714295174747274,2.2693703174591064,2.9421517848968506,2.4125688076019287,42.24080076261629,118.92724128982546,-87.71096348146563
5111187420714898304,59.507642022011794,-13.509012610930261,2.2707934379577637,3.6330206394195557,1.9435346126556396,17.00162879163835,62.22700221870858,-112.00607671028064
1563590579347125632,200.98237336533253,54.92525907860076,2.282646894454956,2.968149423599243,2.4338107109069824,40.213284471127004,122.46748022957269,-22.68188642875364
4049506483413484672,275.24868220695066,-29.82822386700995,2.2969820499420166,3.4772963523864746,2.0510971546173096,7.846769491115783,33.211995167893946,-27.36096961705406
6227443304915069056,226.0172005141403,-25.2821590562471,2.303412437438965,3.9132633209228516,2.0032083988189697,12.538654525627177,-73.48399761123272,-42.632144437537974
804753180515722624,155.58176101601168,41.49966386040507,2.324510097503662,3.661546230316162,2.016453266143799,17.798718499448466,-73.74880343645458,28.259324999144575
5905821894507108864,220.4821588727846,-47.388273117597144,2.3246517181396484,2.8155035972595215,2.5847902297973633,,,
4429785739602747392,236.0675744297602,6.4258326669088035,2.3253543376922607,3.318448543548584,1.983608603477478,43.94497411580315,133.92233920144864,45.55042108403326
2106630885454013184,283.83388403904866,43.946451132674866,2.3616831302642822,4.425215244293213,2.0015056133270264,10.440410406499382,20.136233498600635,81.34922542993326
5922444483103229952,261.3248860596135,-55.529996917051356,2.391281843185425,3.5616939067840576,2.118988275527954,4.560053792219337,-8.039169337949994,-25.92658289598858
6407842789021567872,334.62477862508103,-60.25977542657531,2.396662950515747,3.545750141143799,2.107055187225342,17.732356212677455,-76.99973801843797,-32.82300860348311
856096765753549056,165.46097417209683,56.38257749355825,2.398536443710327,3.0090785026550293,2.515501022338867,38.60307997876443,79.9586126663101,32.364540942038154
3704342295607157120,193.89877797423057,3.3972301950318524,2.4037773609161377,3.910210371017456,2.0112714767456055,17.4064804454874,-469.7138768334123,-53.70998944969009
5961206940987571200,265.62193838278046,-39.03009162628322,2.4227042198181152,2.853773355484009,2.655414581298828,,,
2193192137376175488,319.64633694354825,62.58579604829105,2.428267002105713,3.0375452041625977,2.377532720565796,,,
792588939773693568,178.45836676657404,53.694797326318046,2.4362754821777344,3.0403385162353516,2.520505428314209,,,
